,id,hour,info
0,10178777,04/07/2024 01:33:51,"(769, 142)"
1,8886637,04/07/2024 01:33:54,"(15, 64)"
2,12568044,04/07/2024 01:33:58,"(407, 1060)"
3,12784022,04/07/2024 01:33:59,"(41, 61)"
4,4933946,04/07/2024 01:34:04,"(264, 1061)"
5,10661680,04/07/2024 01:34:05,"(232, 986)"
6,12913278,04/07/2024 01:35:21,"(618, 1054)"
7,11546556,04/07/2024 01:35:24,"(947, 219)"
8,4044995,04/07/2024 01:35:26,"(573, 1073)"
9,8588563,04/07/2024 01:35:28,"(838, 62)"
10,8808801,04/07/2024 01:35:30,"(931, 50)"
11,1403113,04/07/2024 01:35:40,"(110, 1075)"
12,10472802,04/07/2024 01:35:41,"(129, 999)"
13,3401574,04/07/2024 01:35:42,"(-668, 470)"
14,4713743,04/07/2024 01:35:55,"(267, 980)"
15,6492828,04/07/2024 01:35:56,"(1004, 861)"
16,6330977,04/07/2024 01:35:56,"(988, 874)"
17,1552658,04/07/2024 01:36:57,"(1184, 897)"
18,5716230,04/07/2024 01:36:57,"(1184, 897)"
19,6318548,04/07/2024 01:36:58,"(455, 191)"
20,4400735,04/07/2024 01:36:59,"(1195, 929)"
21,7725985,04/07/2024 01:36:59,"(1195, 927)"
22,2539542,04/07/2024 01:37:01,"(451, 186)"
23,11414973,04/07/2024 01:37:02,"(1146, 708)"
24,7095319,04/07/2024 01:37:26,"(764, 917)"
25,9624732,04/07/2024 01:37:27,"(809, 841)"
26,7971538,04/07/2024 01:37:28,"(830, 893)"
27,1781342,04/07/2024 01:37:29,"(829, 972)"
28,12993430,04/07/2024 01:37:29,"(1051, 931)"
29,6447603,04/07/2024 01:37:30,"(1060, 926)"
30,11927665,04/07/2024 01:37:31,"(1024, 847)"
31,5714597,04/07/2024 01:39:26,"(1194, 898)"
32,11316967,04/07/2024 01:39:27,"(1059, 920)"
33,10589689,04/07/2024 01:39:28,"(1222, 900)"
34,5052302,04/07/2024 01:39:29,"(1228, 909)"
35,6740325,04/07/2024 01:39:29,"(1229, 918)"
36,4220867,04/07/2024 01:39:33,"(441, 204)"
37,12914499,04/07/2024 01:40:00,"(-832, 0)"
38,4689489,04/07/2024 01:40:00,"(-775, 0)"
39,1708989,04/07/2024 01:40:04,"(-1787, 0)"
40,5498650,04/07/2024 01:40:05,"(-822, 0)"
41,10671376,04/07/2024 01:40:05,"(-748, 0)"
42,376782,04/07/2024 01:40:06,"(-1523, 134)"
43,8316928,04/07/2024 01:40:07,"(-1733, 433)"
44,8841588,04/07/2024 01:40:10,"(-48, 554)"
45,5380982,04/07/2024 01:40:13,"(-48, 554)"
46,8798080,04/07/2024 01:40:14,"(-48, 554)"
47,6062433,04/07/2024 01:40:15,"(-48, 554)"
48,1168283,04/07/2024 01:40:15,"(-48, 554)"
49,9328994,04/07/2024 01:40:17,"(-66, 556)"
50,6244536,04/07/2024 01:40:17,"(-66, 556)"
51,12040788,04/07/2024 01:40:18,"(-66, 556)"
52,10890020,04/07/2024 01:40:19,"(-67, 556)"
53,4350002,04/07/2024 01:40:38,"(-1855, 0)"
54,11434120,04/07/2024 01:40:40,"(-358, 830)"
55,5897220,04/07/2024 01:41:24,"(1010, 0)"
56,7989053,04/07/2024 01:41:26,"(567, 1079)"
57,5349044,04/07/2024 01:41:26,"(632, 1062)"
